¹,Species,Process ID / GenBank accession number,Sample ID / voucher number,Latitude,Longitude,Region,Year,Source,Number of the original sampling location (see the map on Figure 1),Notes
1,Ammodytes americanus,SCAFB483-07,06-565,"46,2","-52,44",Newfoundland and Labrador,2002,NEA,-,
2,Ammodytes americanus,KC015156 ,06-140-GeoB1-b7,"41,65","-67,03", -,2006,NEA,-,
3,Ammodytes americanus,KC015153,06-566,"46,2","-52,434",Newfoundland and Labrador,2006,NEA,-,
4,Ammodytes dubius,SCAFB1001-07,07-389,"48,243","-44,471", -,2007,NEA,-,
5,Ammodytes dubius,SCAFB1132-09,07-632,"43,821","-58,894",Nova Scotia,2007,NEA,-,
6,Ammodytes dubius,SCAFB279-07,06-118,"41,71","-67,1", -,2006,NEA,-,
7,Ammodytes dubius,SCFAC018-05,05-305-003a2,"44,034","-60,857",Nova Scotia,2005,NEA,-,
8,Ammodytes dubius,SCFAC025-05,05-387-003a12,"43,606","-62,418",Nova Scotia,2005,NEA,-,
9,Ammodytes dubius,SCFAC026-05,05-306-003b2,"44,034","-60,857",Nova Scotia,2005,NEA,-,
10,Ammodytes dubius,SCFAC031-05,05-356-003b8,"43,725","-61,618",Nova Scotia,2005,NEA,-,
11,Ammodytes dubius,SCFAC033-05,05-388-003b12,"43,606","-62,418",Nova Scotia,2005,NEA,-,
12,Ammodytes dubius,SCFAC039-05,05-357-003c8,"43,725","-61,618",Nova Scotia,2005,NEA,-,
13,Ammodytes dubius,KC015163 ,05-790,"47,549","-62,054",New Brunswick,2005,NEA,-,
14,Ammodytes dubius,KC015171,06-191,"43,518","-62,414",Nova Scotia,2006,NEA,-,
15,Ammodytes dubius,KC015160 ,06-195,"43,638","-60,474",Nova Scotia,2006,NEA,-,
16,Ammodytes heian,KJ137282,SLW-2014,"38,5","141,8",North West Pacific,2008,NWP,-,
17,Ammodytes heian,LC121600,WK6-01,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
18,Ammodytes heian,LC121601,WK6-02,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
19,Ammodytes heian,LC121602,WK6-03,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
20,Ammodytes heian,LC121603,WK6-04,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
21,Ammodytes heian,LC121604,WK6-05,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
22,Ammodytes heian,LC121606,WK6-07,45.486829,141.762663,"Japan: Hokkaido, Wakkanai",2015,NWP,-,
23,Ammodytes hexapterus,,AM9-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
24,Ammodytes hexapterus,,Am8-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
25,Ammodytes hexapterus,,Am7-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
26,Ammodytes hexapterus,,Am5-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
27,Ammodytes hexapterus,,Am4-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
28,Ammodytes hexapterus,,Am3-10,"54,75946","137,432",Sea of Okhotsk; Yakshin Bay,2010,SOYB,7,
29,Ammodytes hexapterus,,Am2-15,"53,053488","143,209403",Sea of Okhotsk (Piltun Bay),2015,SOPyl,6,
